Rk,Tm,Year,Date,Time,LTime,Opp,Week,Game,Result,Total Yardage,O Plays,Y/P,D Plays,DY/P,TO
442,NYG,2012,12/23/2012,4:25,4:25,BAL,16,15,L 14-33,186,45,4.1333,81,6.5802,
443,ATL,2014,11/30/2014,4:05,4:05,ARI,13,12,W 29-18,500,76,6.5789,50,6.58,1
444,SDG,2015,12/13/2015,1:03,12:03,KAN,14,13,L 3-10,280,66,4.2424,50,6.58,1
445,ARI,2014,11/30/2014,4:05,4:05,ATL,13,12,L 18-29,329,50,6.58,76,6.5789,3
446,OAK,2014,12/14/2014,1:03,12:03,KAN,15,14,L 13-31,280,77,3.6364,59,6.5763,1
447,NOR,2015,1/3/2016,1:02,1:02,ATL,17,16,W 20-17,390,65,6,63,6.5714,1
448,PIT,2014,10/12/2014,1:02,1:02,CLE,6,6,L 10-31,359,76,4.7237,56,6.5714,1
449,NOR,2015,10/11/2015,1:04,1:04,PHI,5,5,L 17-39,388,69,5.6232,79,6.5696,4
450,NOR,2012,10/7/2012,8:31,7:31,SDG,5,5,W 31-24,404,69,5.8551,65,6.5692,1
451,HOU,2013,12/1/2013,1:02,12:02,NWE,13,12,L 31-34,385,59,6.5254,69,6.5652,1
452,MIN,2012,10/14/2012,4:24,4:24,WAS,6,6,L 26-38,421,80,5.2625,55,6.5636,3
453,NWE,2013,11/3/2013,4:25,4:25,PIT,9,9,W 55-31,610,71,8.5915,73,6.5616,1
454,NOR,2014,11/30/2014,1:02,1:02,PIT,13,12,W 35-32,393,54,7.2778,82,6.561,
455,MIN,2015,12/6/2015,1:02,12:02,SEA,13,12,L 7-38,125,48,2.6042,66,6.5606,1
456,BAL,2016,9/18/2016,1:02,1:02,CLE,2,2,W 25-20,382,71,5.3803,59,6.5593,2
457,NWE,2017,12/17/2017,4:25,4:25,PIT,15,14,W 27-24,360,56,6.4286,63,6.5556,1
458,CLE,2016,9/25/2016,1:02,1:02,MIA,3,3,L 24-30,430,74,5.8108,65,6.5538,1
459,TAM,2012,11/11/2012,1:03,1:03,SDG,10,9,W 34-24,279,43,6.4884,65,6.5538,
460,GNB,2016,10/30/2016,4:25,4:25,ATL,8,7,L 32-33,331,60,5.5167,56,6.5536,
461,WAS,2012,10/21/2012,1:03,1:03,NYG,7,7,L 23-27,480,69,6.9565,60,6.55,4
462,ARI,2017,10/8/2017,1:00,1:00,PHI,5,5,L 7-34,307,60,5.1167,64,6.5469,1
