Rk,Tm,Year,Date,Time,LTime,Opp,Week,Game,Result,Total Yardage,O Plays,Y/P,D Plays,DY/P,TO
611,MIN,2014,11/16/2014,1:02,12:02,CHI,11,10,L 13-21,243,46,5.2826,74,6.3243,1
612,TAM,2016,12/18/2016,8:30,7:30,DAL,15,14,L 20-26,276,59,4.678,71,6.3239,4
613,CHI,2012,10/1/2012,8:40,7:40,DAL,4,4,W 34-18,360,54,6.6667,68,6.3235,1
614,NYJ,2013,12/15/2013,4:05,4:05,CAR,15,14,L 20-30,297,60,4.95,62,6.3226,1
615,STL,2012,9/16/2012,4:05,3:05,WAS,2,2,W 31-28,452,64,7.0625,59,6.322,3
616,CIN,2015,9/20/2015,1:03,1:03,SDG,2,2,W 24-19,389,62,6.2742,56,6.3214,2
617,GNB,2012,9/30/2012,4:25,3:25,NOR,4,4,W 28-27,421,66,6.3788,75,6.32,2
618,IND,2012,12/16/2012,1:02,12:02,HOU,15,14,L 17-29,272,57,4.7719,66,6.3182,1
619,DET,2013,9/29/2013,1:03,1:03,CHI,4,4,W 40-32,387,66,5.8636,66,6.3182,3
620,SFO,2014,11/27/2014,8:31,5:31,SEA,13,12,L 3-19,164,51,3.2157,60,6.3167,3
621,CIN,2015,10/4/2015,1:03,1:03,KAN,4,4,W 36-21,445,50,8.9,73,6.3151,
622,IND,2013,10/6/2013,1:03,1:03,SEA,5,5,W 34-28,317,60,5.2833,67,6.3134,2
623,JAX,2014,11/2/2014,1:02,1:02,CIN,9,9,L 23-33,365,60,6.0833,67,6.3134,1
624,PHI,2016,11/13/2016,1:00,1:00,ATL,10,9,W 24-15,429,76,5.6447,48,6.3125,1
625,BAL,2015,10/11/2015,1:02,1:02,CLE,5,5,L 30-33,377,67,5.6269,80,6.3125,
626,CAR,2012,9/16/2012,1:03,1:03,NOR,2,2,W 35-27,463,62,7.4677,77,6.3117,1
627,DET,2016,1/1/2017,8:30,8:30,GNB,17,16,L 24-31,408,64,6.375,71,6.3099,1
628,NYG,2014,10/12/2014,8:41,8:41,PHI,6,6,L 0-27,254,60,4.2333,71,6.3099,1
629,ATL,2013,11/17/2013,1:03,1:03,TAM,11,10,L 28-41,420,66,6.3636,65,6.3077,3
630,CLE,2014,10/5/2014,1:02,12:02,TEN,5,4,W 29-28,460,74,6.2162,65,6.3077,1
631,SDG,2016,9/25/2016,4:25,4:25,IND,3,3,L 22-26,352,58,6.069,65,6.3077,3
632,ATL,2016,1/1/2017,4:25,4:25,NOR,17,16,W 38-32,465,59,7.8814,75,6.3067,
633,TAM,2015,9/13/2015,4:25,4:25,TEN,1,1,L 14-42,273,63,4.3333,49,6.3061,2
634,HOU,2017,12/10/2017,1:00,12:00,SFO,14,13,L 16-26,311,64,4.8594,66,6.303,1
635,STL,2015,11/15/2015,1:00,12:00,CHI,10,9,L 13-37,285,59,4.8305,63,6.3016,2
636,LAC,2017,12/16/2017,8:25,7:25,KAN,15,14,L 13-30,307,60,5.1167,63,6.3016,4
637,BUF,2016,12/11/2016,1:00,1:00,PIT,14,13,L 20-27,275,48,5.7292,73,6.3014,1
638,NOR,2016,12/4/2016,1:00,12:00,DET,13,12,L 13-28,369,57,6.4737,67,6.2985,3
639,IND,2013,11/14/2013,8:29,7:29,TEN,11,10,W 30-27,366,69,5.3043,54,6.2963,
640,STL,2015,10/4/2015,4:25,1:25,ARI,4,4,W 24-22,328,51,6.4314,71,6.2958,
641,NWE,2014,11/2/2014,4:25,4:25,DEN,9,9,W 43-21,398,79,5.038,75,6.2933,1
642,IND,2012,11/4/2012,1:02,1:02,MIA,9,8,W 23-20,516,75,6.88,58,6.2931,
643,BUF,2012,10/21/2012,1:02,1:02,TEN,7,7,L 34-35,382,60,6.3667,62,6.2903,2
644,GNB,2012,11/25/2012,8:30,8:30,NYG,12,11,L 10-38,317,58,5.4655,62,6.2903,2
645,OAK,2012,11/25/2012,1:02,1:02,CIN,12,11,L 10-34,218,61,3.5738,66,6.2879,2
646,CLE,2013,12/8/2013,1:02,1:02,NWE,14,13,L 26-27,494,70,7.0571,77,6.2857,
647,MIA,2016,1/1/2017,1:00,1:00,NWE,17,16,L 14-35,280,57,4.9123,63,6.2857,2
648,GNB,2017,9/17/2017,8:30,8:30,ATL,2,2,L 23-34,367,68,5.3971,58,6.2759,2
649,WAS,2015,10/4/2015,1:03,1:03,PHI,4,4,W 23-20,417,79,5.2785,51,6.2745,1
650,SDG,2015,9/20/2015,1:03,1:03,CIN,2,2,L 19-24,354,56,6.3214,62,6.2742,3
651,OAK,2013,12/29/2013,4:25,1:25,DEN,17,16,L 14-34,255,60,4.25,73,6.274,1
652,NOR,2016,10/23/2016,1:03,12:03,KAN,7,6,L 21-27,463,71,6.5211,52,6.2692,2
653,SEA,2017,9/24/2017,4:05,3:05,TEN,3,3,L 27-33,433,72,6.0139,67,6.2687,
654,ATL,2013,10/7/2013,8:40,8:40,NYJ,5,5,L 28-30,363,70,5.1857,46,6.2609,1
655,MIN,2015,12/27/2015,8:30,7:30,NYG,16,15,W 49-17,368,68,5.4118,58,6.2586,
656,MIN,2016,11/13/2016,1:00,1:00,WAS,10,9,L 20-26,331,64,5.1719,62,6.2581,1
657,IND,2014,9/21/2014,1:02,1:02,JAX,3,3,W 44-17,529,74,7.1486,55,6.2545,
658,DET,2012,12/22/2012,8:40,8:40,ATL,16,15,L 18-31,522,78,6.6923,55,6.2545,3
659,TAM,2012,10/25/2012,8:29,7:29,MIN,8,7,W 36-17,416,78,5.3333,59,6.2542,
660,DEN,2017,11/5/2017,1:00,1:00,PHI,9,8,L 23-51,226,60,3.7667,67,6.2537,2
661,SFO,2016,11/20/2016,4:25,1:25,NWE,11,10,L 17-30,299,62,4.8226,71,6.2535,
662,CAR,2017,12/3/2017,4:25,12:00,NOR,13,12,L 21-31,279,53,5.2642,64,6.25,1
663,MIA,2016,11/6/2016,1:00,1:00,NYJ,9,8,W 27-23,274,62,4.4194,53,6.2453,
664,BUF,2014,12/7/2014,4:05,2:05,DEN,14,13,L 17-24,415,77,5.3896,49,6.2449,3
665,IND,2017,12/14/2017,8:25,8:25,DEN,15,14,L 13-25,228,53,4.3019,74,6.2432,
666,JAX,2013,9/29/2013,1:06,1:06,IND,4,4,L 3-37,205,54,3.7963,70,6.2429,3
667,NYG,2014,11/3/2014,8:31,8:31,IND,9,8,L 24-40,438,75,5.84,71,6.2394,1
668,GNB,2016,9/25/2016,1:02,12:02,DET,3,3,W 34-27,324,50,6.48,67,6.2388,
669,PIT,2014,10/20/2014,8:30,8:30,HOU,7,7,W 30-23,328,62,5.2903,63,6.2381,1
670,OAK,2016,9/25/2016,1:02,12:02,TEN,3,3,W 17-10,368,61,6.0328,63,6.2381,1
671,NYG,2015,12/20/2015,1:02,1:02,CAR,15,14,L 35-38,406,73,5.5616,77,6.2338,2
672,PHI,2013,12/15/2013,1:02,12:02,MIN,15,14,L 30-48,475,65,7.3077,73,6.2329,1
673,SDG,2015,10/12/2015,8:30,5:30,PIT,5,5,L 20-24,406,69,5.8841,56,6.2321,2
674,IND,2016,11/6/2016,4:25,3:25,GNB,9,9,W 31-26,355,66,5.3788,65,6.2308,2
675,KAN,2013,12/15/2013,4:05,1:05,OAK,15,14,W 56-31,384,51,7.5294,74,6.2297,1
676,STL,2014,9/7/2014,1:00,12:00,MIN,1,1,L 6-34,318,63,5.0476,57,6.2281,2
677,MIN,2013,9/15/2013,1:03,12:03,CHI,2,2,L 30-31,350,64,5.4688,66,6.2273,3
678,DET,2013,9/8/2013,1:02,1:02,MIN,1,1,W 34-24,469,77,6.0909,53,6.2264,2
679,TAM,2016,12/4/2016,4:25,1:25,SDG,13,12,W 28-21,349,61,5.7213,53,6.2264,1
680,JAX,2015,9/20/2015,4:05,4:05,MIA,2,2,W 23-20,396,66,6,62,6.2258,
681,NYJ,2017,10/29/2017,1:00,1:00,ATL,8,8,L 20-25,279,58,4.8103,62,6.2258,1
682,PIT,2015,9/10/2015,8:40,8:40,NWE,1,1,L 21-28,464,66,7.0303,58,6.2241,1
683,GNB,2017,11/6/2017,8:30,7:30,DET,9,8,L 17-30,311,58,5.3621,67,6.2239,
684,MIA,2017,11/26/2017,1:00,1:00,NWE,12,11,L 17-35,221,60,3.6833,67,6.2239,3
685,NWE,2017,9/24/2017,1:00,1:00,HOU,3,3,W 36-33,396,60,6.6,67,6.2239,1
686,BAL,2016,11/20/2016,1:00,12:00,DAL,11,10,L 17-27,368,52,7.0769,67,6.2239,
687,TAM,2016,12/24/2016,4:25,3:25,NOR,16,15,L 24-31,349,58,6.0172,67,6.2239,2
688,CHI,2013,12/29/2013,4:25,3:25,GNB,17,16,L 28-33,345,49,7.0408,76,6.2237,2
689,DAL,2014,9/21/2014,1:00,12:00,STL,3,3,W 34-31,340,52,6.5385,72,6.2222,2
690,MIA,2013,9/15/2013,1:02,1:02,IND,2,2,W 24-20,398,66,6.0303,72,6.2222,1
691,PHI,2017,12/17/2017,1:00,1:00,NYG,15,14,W 34-29,341,66,5.1667,81,6.2222,
692,CLE,2015,12/20/2015,4:06,1:06,SEA,15,14,L 13-30,230,52,4.4231,68,6.2206,1
693,KAN,2016,1/1/2017,4:25,1:25,SDG,17,16,W 37-27,365,60,6.0833,64,6.2188,1
694,IND,2015,9/13/2015,1:03,1:03,BUF,1,1,L 14-27,304,68,4.4706,55,6.2182,3
695,CLE,2017,12/3/2017,4:05,1:05,LAC,13,12,L 10-19,291,57,5.1053,69,6.2174,2
696,NOR,2013,12/2/2013,8:41,5:41,SEA,13,12,L 7-34,188,56,3.3571,69,6.2174,1
697,TEN,2014,10/5/2014,1:02,12:02,CLE,5,5,L 28-29,410,65,6.3077,74,6.2162,
698,SEA,2016,11/13/2016,8:30,8:30,NWE,10,9,W 31-24,420,66,6.3636,62,6.2097,
699,NYG,2012,9/30/2012,8:30,8:30,PHI,4,4,L 17-19,366,61,6,68,6.2059,1
700,CIN,2016,10/30/2016,8:36,1:36,WAS,8,8,T 27-27,415,81,5.1235,88,6.2045,2
701,NWE,2015,12/27/2015,1:02,1:02,NYJ,16,15,L 20-26,284,55,5.1636,69,6.2029,1
702,DET,2012,12/2/2012,1:03,1:03,IND,13,12,L 33-35,451,75,6.0133,74,6.2027,1
703,SDG,2014,9/8/2014,9:20,7:20,ARI,1,1,L 17-18,290,60,4.8333,65,6.2,1
704,PHI,2015,1/3/2016,1:03,1:03,NYG,17,16,W 35-30,435,65,6.6923,81,6.1975,2
705,JAX,2015,9/27/2015,1:06,1:06,NWE,3,3,L 17-51,293,55,5.3273,76,6.1974,1
706,OAK,2014,11/9/2014,4:05,1:05,DEN,10,9,L 17-41,222,62,3.5806,76,6.1974,3
707,KAN,2015,11/29/2015,1:03,12:03,BUF,12,11,W 30-22,413,58,7.1207,67,6.194,
708,CIN,2015,12/28/2015,8:30,6:30,DEN,16,15,L 17-20,294,70,4.2,63,6.1905,1
709,WAS,2012,12/3/2012,8:40,8:40,NYG,13,12,W 17-16,370,52,7.1154,63,6.1905,1
710,WAS,2012,12/9/2012,1:03,1:03,BAL,14,13,W 31-28,423,66,6.4091,58,6.1897,1
711,BUF,2014,9/7/2014,1:00,12:00,CHI,1,1,W 23-20,360,56,6.4286,69,6.1884,1
712,OAK,2013,10/6/2013,11:35,8:35,SDG,5,5,W 27-17,299,55,5.4364,69,6.1884,
713,DAL,2014,11/27/2014,4:36,3:36,PHI,13,12,L 10-33,267,58,4.6034,75,6.1867,3
714,SEA,2012,12/2/2012,1:03,12:03,CHI,13,12,W 23-17,459,71,6.4648,59,6.1864,1
715,OAK,2012,9/23/2012,4:25,1:25,PIT,3,3,W 34-31,321,56,5.7321,70,6.1857,1
716,OAK,2014,9/7/2014,1:02,1:02,NYJ,1,1,L 14-19,158,49,3.2245,65,6.1846,
717,ATL,2016,9/11/2016,1:05,1:05,TAM,1,1,L 24-31,374,64,5.8438,60,6.1833,
718,NYJ,2014,10/5/2014,4:25,1:25,SDG,5,5,L 0-31,151,54,2.7963,71,6.1831,2
719,TEN,2015,12/13/2015,1:02,1:02,NYJ,14,13,L 8-30,292,58,5.0345,71,6.1831,1
720,CHI,2013,9/8/2013,1:02,12:02,CIN,1,1,W 24-21,323,61,5.2951,55,6.1818,1
721,PIT,2013,11/17/2013,1:02,1:02,DET,11,10,W 37-27,398,73,5.4521,73,6.1781,
722,LAR,2017,11/19/2017,1:00,3:00,MIN,11,10,L 7-24,254,56,4.5357,73,6.1781,1
723,CIN,2017,10/22/2017,4:25,1:00,PIT,7,6,L 14-29,179,51,3.5098,68,6.1765,2
724,DAL,2012,12/23/2012,1:02,12:02,NOR,16,15,L 31-34,446,56,7.9643,91,6.1758,1
725,TEN,2012,10/28/2012,1:06,12:06,IND,8,8,L 13-19,339,56,6.0536,74,6.1757,
726,ARI,2015,12/10/2015,8:25,6:25,MIN,14,13,W 23-20,393,66,5.9545,63,6.1746,
727,KAN,2016,12/18/2016,1:00,12:00,TEN,15,14,L 17-19,316,57,5.5439,63,6.1746,1
728,MIA,2016,9/18/2016,1:02,1:02,NWE,2,2,L 24-31,457,61,7.4918,75,6.1733,4
729,SFO,2016,11/27/2016,1:00,1:00,MIA,12,11,L 24-31,475,73,6.5068,58,6.1724,2
730,MIA,2014,12/14/2014,1:02,1:02,NWE,15,14,L 13-41,384,74,5.1892,64,6.1719,2
731,WAS,2014,10/27/2014,8:30,7:30,DAL,8,8,W 20-17,409,64,6.3906,64,6.1719,1
732,HOU,2014,9/14/2014,4:25,1:25,OAK,2,2,W 30-14,327,65,5.0308,59,6.1695,
733,ATL,2015,12/20/2015,1:02,1:02,JAX,15,14,W 23-17,328,69,4.7536,60,6.1667,1
734,IND,2012,9/23/2012,1:03,1:03,JAX,3,3,L 17-22,437,75,5.8267,54,6.1667,1
735,NYG,2015,11/29/2015,1:03,1:03,WAS,12,11,L 14-20,332,67,4.9552,66,6.1667,3
736,NYJ,2013,11/3/2013,1:04,1:04,NOR,9,9,W 26-20,338,58,5.8276,66,6.1667,
737,SDG,2013,12/8/2013,4:25,1:25,NYG,14,13,W 37-14,388,70,5.5429,54,6.1667,1
738,HOU,2017,10/8/2017,8:30,7:30,KAN,5,5,L 34-42,392,57,6.8772,73,6.1644,1
739,DAL,2014,12/4/2014,8:26,7:26,CHI,14,13,W 41-28,397,62,6.4032,61,6.1639,
740,NOR,2015,10/25/2015,1:03,1:03,IND,7,7,W 27-21,449,83,5.4096,61,6.1639,1
741,CHI,2012,11/4/2012,1:04,12:04,TEN,9,8,W 51-20,365,65,5.6154,55,6.1636,1
742,KAN,2015,10/25/2015,1:03,12:03,PIT,7,7,W 23-13,377,63,5.9841,55,6.1636,
743,HOU,2016,11/27/2016,1:00,12:00,SDG,12,11,L 13-21,353,65,5.4308,49,6.1633,4
744,DET,2013,12/29/2013,1:05,12:05,MIN,17,16,L 13-14,245,60,4.0833,56,6.1607,
745,TEN,2017,11/12/2017,1:00,12:00,CIN,10,9,W 24-20,416,84,4.9524,50,6.16,2
746,SDG,2016,9/18/2016,4:25,1:25,JAX,2,2,W 38-14,357,63,5.6667,63,6.1587,1
747,CIN,2014,10/5/2014,8:43,8:43,NWE,5,4,L 17-43,320,48,6.6667,82,6.1585,3
748,TEN,2014,10/19/2014,1:02,1:02,WAS,7,7,L 17-19,236,49,4.8163,57,6.1579,2
749,GNB,2015,10/18/2015,4:25,3:25,SDG,6,6,W 27-20,370,49,7.551,89,6.1573,
750,CIN,2012,10/21/2012,8:30,8:30,PIT,7,7,L 17-24,185,49,3.7755,70,6.1571,1
751,MIA,2014,12/21/2014,1:03,1:03,MIN,16,15,W 37-35,493,77,6.4026,58,6.1552,2
752,IND,2016,9/18/2016,4:25,2:25,DEN,2,2,L 20-34,253,66,3.8333,65,6.1538,2
753,MIN,2014,10/2/2014,8:26,7:26,GNB,5,5,L 10-42,299,75,3.9867,52,6.1538,3
754,PHI,2014,10/26/2014,4:05,1:05,ARI,8,7,L 20-24,521,87,5.9885,65,6.1538,3
755,STL,2013,10/6/2013,1:00,12:00,JAX,5,5,W 34-20,351,72,4.875,59,6.1525,
756,PHI,2012,10/14/2012,1:03,1:03,DET,6,6,L 23-26,357,78,4.5769,73,6.1507,3
757,BAL,2015,12/13/2015,1:02,1:02,SEA,14,13,L 6-35,302,55,5.4909,69,6.1449,2
758,IND,2013,12/8/2013,1:02,1:02,CIN,14,13,L 28-42,389,58,6.7069,70,6.1429,
759,PHI,2015,11/26/2015,12:35,12:35,DET,12,11,L 14-45,227,58,3.9138,70,6.1429,1
760,TAM,2012,9/9/2012,4:26,4:26,CAR,1,1,W 16-10,258,62,4.1613,49,6.1429,
761,CHI,2015,12/20/2015,1:02,12:02,MIN,15,14,L 17-38,293,62,4.7258,57,6.1404,2
762,LAC,2017,10/1/2017,4:05,1:05,PHI,4,4,L 24-26,400,53,7.5472,74,6.1351,1
763,TAM,2015,12/17/2015,8:25,7:25,STL,15,14,L 23-31,509,77,6.6104,52,6.1346,2
764,PHI,2014,10/5/2014,1:02,1:02,STL,5,5,W 34-28,352,70,5.0286,76,6.1316,3
765,BUF,2012,11/4/2012,1:02,12:02,HOU,9,8,L 9-21,304,57,5.3333,61,6.1311,1
766,OAK,2014,10/12/2014,4:05,1:05,SDG,6,5,L 28-31,396,54,7.3333,69,6.1304,1
767,IND,2015,12/13/2015,1:02,1:02,JAX,14,13,L 16-51,322,69,4.6667,62,6.129,2
768,SDG,2016,10/23/2016,4:05,4:05,ATL,7,7,W 33-30,426,75,5.68,63,6.127,2
769,NWE,2017,10/22/2017,8:30,8:30,ATL,7,7,W 23-7,403,67,6.0149,56,6.125,
770,SFO,2017,10/8/2017,1:00,1:00,IND,5,5,L 23-26,402,70,5.7429,73,6.1233,
771,PHI,2012,11/26/2012,8:32,8:32,CAR,12,11,L 22-30,311,48,6.4792,65,6.1231,3
772,TEN,2013,10/13/2013,4:06,1:06,SEA,6,6,L 13-20,223,52,4.2885,66,6.1212,2
773,CAR,2017,11/5/2017,1:00,1:00,ATL,9,9,W 20-17,330,63,5.2381,58,6.1207,2
774,TAM,2017,12/18/2017,8:30,8:30,ATL,15,14,L 21-24,373,55,6.7818,67,6.1194,1
775,CLE,2017,11/26/2017,1:00,1:00,CIN,12,11,L 16-30,405,67,6.0448,59,6.1186,
776,PIT,2013,12/8/2013,1:02,1:02,MIA,14,13,L 28-34,412,63,6.5397,60,6.1167,1
777,CAR,2013,12/8/2013,8:30,7:30,NOR,14,13,L 13-31,239,62,3.8548,61,6.1148,
778,IND,2012,9/9/2012,1:02,12:02,CHI,1,1,L 21-41,356,63,5.6508,70,6.1143,5
779,HOU,2014,11/2/2014,1:03,12:03,PHI,9,9,L 21-31,300,59,5.0847,79,6.1139,1
780,ATL,2014,11/16/2014,1:03,1:03,CAR,11,10,W 19-17,346,74,4.6757,64,6.1094,1
781,OAK,2012,9/16/2012,1:02,1:02,MIA,2,2,L 13-35,396,62,6.3871,74,6.1081,1
782,WAS,2012,11/22/2012,4:41,3:41,DAL,12,11,W 38-31,437,62,7.0484,75,6.1067,1
783,KAN,2013,11/3/2013,1:02,1:02,BUF,9,9,W 23-13,210,54,3.8889,77,6.1039,
784,HOU,2012,10/14/2012,8:30,7:30,GNB,6,6,L 24-42,321,69,4.6522,70,6.1,3
785,BAL,2017,12/3/2017,1:00,1:00,DET,13,12,W 44-20,370,63,5.873,61,6.0984,
786,LAC,2017,9/24/2017,4:25,1:25,KAN,3,3,L 10-24,330,68,4.8529,51,6.098,3
787,ARI,2012,10/29/2012,8:40,5:40,SFO,8,8,L 3-24,265,65,4.0769,52,6.0962,1
788,DET,2015,12/13/2015,1:02,12:02,STL,14,13,L 14-21,331,70,4.7286,52,6.0962,1
789,BUF,2012,9/9/2012,1:03,1:03,NYJ,1,1,L 28-48,390,58,6.7241,63,6.0952,4
790,OAK,2014,12/28/2014,4:25,2:25,DEN,17,16,L 14-47,199,57,3.4912,74,6.0946,2
791,NYJ,2014,10/16/2014,8:25,8:25,NWE,7,7,L 25-27,423,80,5.2875,53,6.0943,
792,DAL,2016,9/25/2016,8:31,7:31,CHI,3,3,W 31-17,447,65,6.8769,64,6.0938,1
793,JAX,2017,9/17/2017,1:00,1:00,TEN,2,2,L 16-37,310,61,5.082,64,6.0938,3
794,CLE,2012,12/23/2012,4:05,2:05,DEN,16,15,L 12-34,233,60,3.8833,75,6.0933,1
795,CHI,2016,10/9/2016,1:02,1:02,IND,5,5,L 23-29,522,62,8.4194,65,6.0923,1
796,OAK,2015,9/13/2015,4:25,1:25,CIN,1,1,L 13-33,246,61,4.0328,65,6.0923,2
797,MIN,2013,9/8/2013,1:02,1:02,DET,1,1,L 24-34,330,53,6.2264,77,6.0909,4
798,TEN,2017,12/24/2017,1:00,12:00,LAR,16,15,L 23-27,366,66,5.5455,66,6.0909,1
799,STL,2012,10/21/2012,1:00,12:00,GNB,7,7,L 20-30,354,59,6,66,6.0909,1
800,TAM,2017,10/5/2017,8:25,8:25,NWE,5,4,L 14-19,409,68,6.0147,66,6.0909,
801,DET,2014,10/19/2014,1:02,1:02,NOR,7,7,W 24-23,344,67,5.1343,67,6.0896,2
802,DET,2016,10/2/2016,1:00,12:00,CHI,4,4,L 14-17,263,56,4.6964,67,6.0896,2
803,BAL,2012,10/14/2012,1:02,1:02,DAL,6,6,W 31-29,316,49,6.449,79,6.0886,
804,IND,2016,10/16/2016,8:32,7:32,HOU,6,6,L 23-26,392,67,5.8507,68,6.0882,1
805,TEN,2017,12/17/2017,4:25,1:25,SFO,15,14,L 23-25,328,62,5.2903,68,6.0882,1
806,PHI,2013,11/3/2013,4:05,1:05,OAK,9,9,W 49-20,542,57,9.5088,92,6.087,
807,CIN,2014,11/2/2014,1:02,1:02,JAX,9,8,W 33-23,423,67,6.3134,60,6.0833,2
808,SDG,2016,1/1/2017,4:25,1:25,KAN,17,16,L 27-37,398,64,6.2188,60,6.0833,2
809,WAS,2016,12/19/2016,8:30,8:30,CAR,15,14,L 15-26,335,61,5.4918,72,6.0833,3
810,DET,2015,10/18/2015,1:02,1:02,CHI,6,6,W 37-34,546,76,7.1842,73,6.0822,3
811,HOU,2017,11/5/2017,1:00,12:00,IND,9,8,L 14-20,288,67,4.2985,61,6.082,1
812,WAS,2017,10/23/2017,8:30,8:30,PHI,7,6,L 24-34,344,62,5.5484,61,6.082,1
813,IND,2014,12/21/2014,4:26,3:26,DAL,16,15,L 7-42,229,56,4.0893,62,6.0806,3
814,DET,2014,12/28/2014,4:25,3:25,GNB,17,16,L 20-30,313,66,4.7424,62,6.0806,1
815,GNB,2012,9/9/2012,4:25,3:25,SFO,1,1,L 22-30,324,61,5.3115,62,6.0806,1
816,HOU,2014,10/5/2014,1:03,12:03,DAL,5,5,L 17-20,330,56,5.8929,75,6.08,1
817,PIT,2014,9/7/2014,1:02,1:02,CLE,1,1,W 30-27,503,67,7.5075,64,6.0781,1
818,NYG,2017,12/3/2017,4:25,1:25,OAK,13,12,L 17-24,265,61,4.3443,66,6.0758,2
819,CHI,2015,9/13/2015,1:00,12:00,GNB,1,1,L 23-31,402,71,5.662,53,6.0755,1
820,ARI,2012,12/30/2012,4:25,1:25,SFO,17,16,L 13-27,262,53,4.9434,67,6.0746,2
821,DAL,2014,12/28/2014,1:05,1:05,WAS,17,16,W 44-17,473,61,7.7541,68,6.0735,1
822,TEN,2014,9/28/2014,1:03,1:03,IND,4,4,L 17-41,261,47,5.5532,82,6.0732,3
823,PIT,2012,9/9/2012,8:31,6:31,DEN,1,1,L 19-31,284,71,4,55,6.0727,1
824,CIN,2014,12/28/2014,8:30,8:30,PIT,17,16,L 17-27,337,70,4.8143,57,6.0702,3
825,DET,2016,10/9/2016,1:02,1:02,PHI,5,5,W 24-23,244,56,4.3571,57,6.0702,1
826,CHI,2017,11/19/2017,1:00,12:00,DET,11,10,L 24-27,398,61,6.5246,58,6.069,1
827,IND,2016,9/25/2016,4:25,4:25,SDG,3,3,W 26-22,410,65,6.3077,58,6.069,2
828,DET,2014,11/16/2014,4:25,2:25,ARI,11,10,L 6-14,262,53,4.9434,58,6.069,1
829,OAK,2013,12/8/2013,1:02,1:02,NYJ,14,13,L 27-37,383,65,5.8923,58,6.069,1
830,ARI,2017,9/25/2017,8:30,6:30,DAL,3,3,L 17-28,332,75,4.4267,45,6.0667,
831,CAR,2013,9/8/2013,1:04,1:04,SEA,1,1,L 7-12,253,50,5.06,61,6.0656,2
832,SFO,2014,9/7/2014,4:25,3:25,DAL,1,1,W 28-17,319,54,5.9074,63,6.0635,
833,BUF,2017,10/8/2017,1:00,1:00,CIN,5,5,L 16-20,221,67,3.2985,64,6.0625,1
834,SFO,2015,11/1/2015,1:00,12:00,STL,8,8,L 6-27,189,65,2.9077,64,6.0625,
835,IND,2015,11/8/2015,4:25,4:25,DEN,9,9,W 27-24,365,77,4.7403,51,6.0588,
836,DAL,2017,10/1/2017,1:00,12:00,LAR,4,4,L 30-35,440,65,6.7692,68,6.0588,2
837,NYJ,2016,10/9/2016,1:02,1:02,PIT,5,5,L 13-31,316,58,5.4483,72,6.0556,
838,TEN,2013,12/8/2013,4:05,2:05,DEN,14,13,L 28-51,254,48,5.2917,91,6.0549,2
839,MIA,2015,12/20/2015,4:25,1:25,SDG,15,14,L 14-30,231,56,4.125,73,6.0548,1
840,IND,2012,10/28/2012,1:06,12:06,TEN,8,7,W 19-13,457,74,6.1757,56,6.0536,1
841,MIA,2017,10/15/2017,1:00,1:00,ATL,6,5,W 20-17,289,64,4.5156,56,6.0536,1
842,GNB,2017,12/10/2017,1:00,1:00,CLE,14,13,W 27-21,341,74,4.6081,57,6.0526,
843,TEN,2012,12/23/2012,1:02,12:02,GNB,16,15,L 7-55,180,59,3.0508,76,6.0526,2
844,PHI,2016,10/30/2016,8:31,7:31,DAL,8,7,L 23-29,291,71,4.0986,76,6.0526,1
845,WAS,2015,11/8/2015,1:02,1:02,NWE,9,8,L 10-27,250,56,4.4643,76,6.0526,2
846,DET,2016,9/18/2016,1:02,1:02,TEN,2,2,L 15-16,375,67,5.597,60,6.05,1
847,JAX,2015,10/11/2015,1:02,1:02,TAM,5,5,L 31-38,325,56,5.8036,61,6.0492,2
848,CLE,2012,9/16/2012,1:02,1:02,CIN,2,2,L 27-34,439,62,7.0806,62,6.0484,1
849,CIN,2017,11/26/2017,1:00,1:00,CLE,12,11,W 30-16,361,59,6.1186,67,6.0448,
850,NWE,2012,11/22/2012,8:31,8:31,NYJ,12,11,W 49-19,475,66,7.197,67,6.0448,1
851,BUF,2017,12/24/2017,1:00,1:00,NWE,16,15,L 16-37,326,68,4.7941,68,6.0441,
852,MIN,2016,12/18/2016,1:00,3:00,IND,15,14,L 6-34,282,56,5.0357,68,6.0441,3
853,CLE,2016,11/6/2016,1:00,1:00,DAL,9,9,L 10-35,222,44,5.0455,70,6.0429,
854,CLE,2015,10/25/2015,1:00,12:00,STL,7,7,L 6-24,364,65,5.6,51,6.0392,4
855,ATL,2012,11/25/2012,1:02,1:02,TAM,12,11,W 24-23,424,57,7.4386,54,6.037,2
856,HOU,2012,11/22/2012,12:39,12:39,DET,12,11,W 34-31,501,78,6.4231,87,6.0345,1
857,MIN,2012,11/11/2012,1:05,12:05,DET,10,10,W 34-24,403,68,5.9265,61,6.0328,
858,TEN,2016,9/25/2016,1:02,12:02,OAK,3,3,L 10-17,393,63,6.2381,61,6.0328,3
859,CHI,2016,1/1/2017,1:00,3:00,MIN,17,16,L 10-38,323,59,5.4746,62,6.0323,5
860,CAR,2015,9/27/2015,1:03,1:03,NOR,3,3,W 27-22,431,62,6.9516,63,6.0317,
861,BUF,2013,10/27/2013,1:02,12:02,NOR,8,8,L 17-35,299,68,4.3971,64,6.0313,3
