player_id,year,game_number,name,team,date,log_draft_position,log_num_games,ewma_fpts,ewma_team_rush_attempts,ewma_team_rush_percentage,ewma_team_passing_rating,ewma_rushing_attempts,ewma_receiving_targets,DY/P,TO,next_fpts,fpts
19449,2014,1,Emmanuel Sanders ,DEN,2014-09-07,4.4067192472642525,4.043051267834549,8.677391112625575,28.862513135800622,0.5020437330478201,111.28647575481857,0.16683797384045998,6.2935305548061,5.26114,2.0,14.6,11.8
7061,2014,1,Malcom Floyd ,LAC,2014-09-08,5.541263545158426,4.51085950651685,10.243704719248678,30.84654868225699,0.5817001555767182,100.61892748686543,0.0,5.847242923625887,4.08066,1.25,0.0,13.0
4524,2014,1,Riley Cooper,PHI,2014-09-07,5.068904202220232,4.043051267834549,8.774422105238546,30.63710872639792,0.5875795535679176,103.05447038572468,0.0,5.490868575809361,5.11672,1.5,1.3,4.9
24742,2014,1,Kendall Wright,TEN,2014-09-07,2.9957322735539913,3.4657359027997265,10.4764764619434,30.079041903790824,0.5887963912442035,84.14607687740398,0.008650796664643603,8.51484485321841,5.9125,2.75,4.6,13.600000000000001
2688,2014,1,Mike Brown,JAX,2014-09-07,5.541263545158426,2.6390573296152584,6.036811965357432,23.762525918376827,0.5135804601527034,76.30439248758933,0.0,4.877498226565659,5.0708199999999986,3.2,0.0,5.1
1342,2014,1,Cole Beasley,DAL,2014-09-07,5.541263545158426,3.218875824868201,4.384778034996014,21.42507676618064,0.4832905736219708,90.05253909831828,0.0,3.6541664240865215,5.169359999999998,1.75,1.5,6.2
4350,2014,1,Marques Colston,NOR,2014-09-07,5.5294290875114225,4.770684624465665,12.182080763023805,24.933203597233724,0.4653702736541793,104.74249306860584,0.00017842140981344366,8.064886520292129,6.2015400000000005,2.0,0.0,13.5
12762,2014,1,Brandon LaFell,NWE,2014-09-07,4.356708826689592,4.110873864173311,5.747226108658124,29.065948572503792,0.5421034764022631,87.62886259603172,0.13303506595530246,5.23879686868863,5.2170000000000005,2.0,0.0,0.0
19182,2014,1,Eddie Royal,LAC,2014-09-08,3.737669618283368,4.418840607796597,7.034658732931618,30.84654868225699,0.5817001555767182,100.61892748686543,0.5174785925041256,4.667186765491754,4.08066,1.25,10.4,2.4
3253,2014,1,Andre Caldwell,DEN,2014-09-07,4.574710978503383,4.330733340286331,3.4338452973093365,28.862513135800622,0.5020437330478201,111.28647575481857,0.03623112072890279,2.9254395931587736,5.26114,2.0,0.0,2.6
10191,2014,1,DeAndre Hopkins,HOU,2014-09-07,3.2958368660043287,2.8332133440562166,7.732946709220853,26.375554023576797,0.5581551553959574,76.11372109834582,0.0,5.273129377556074,6.23826,2.75,9.7,16.9
11078,2014,1,Greg Jennings,MIN,2014-09-07,3.951243718581428,4.718498871295094,10.645943619616393,27.970575953317628,0.5840358681243824,82.89533095511034,0.0008925500903631289,7.3853897677049325,5.730199999999999,1.5,0.9,14.8
11189,2014,1,Calvin Johnson ,DET,2014-09-08,0.6931471805599453,4.672828834461906,19.24738528252739,28.28972877424121,0.5553013048675246,83.82467880594311,0.0024772561104206173,11.130094238002162,4.96406,1.5,11.3,31.900000000000002
20801,2014,1,Torrey Smith,BAL,2014-09-07,4.060443010546419,3.8918202981106265,8.888680767434671,25.45334291971496,0.5066544595713895,73.47116615024737,0.022930640716064026,7.919240826253744,5.2152,1.4,1.5,6.5
4883,2014,1,Victor Cruz,NYG,2014-09-08,5.541263545158426,3.912023005428147,9.065929960908822,24.533991890456814,0.5535944541824049,70.09551946257493,0.000614315719484133,7.759472264242118,5.16878,2.25,8.5,3.4000000000000004
24257,2014,1,Terrance Williams,DAL,2014-09-07,4.30406509320417,2.8332133440562166,8.041546654791356,21.42507676618064,0.4832905736219708,90.05253909831828,0.09346748028311468,4.902223530138099,5.169359999999998,1.75,3.0,13.0
22029,2014,1,Demaryius Thomas,DEN,2014-09-07,3.0910424533583165,3.9889840465642745,15.922281318458069,28.862513135800622,0.5020437330478201,111.28647575481857,0.0019187798631325663,9.079944890199936,5.26114,2.0,14.7,6.800000000000001
9921,2014,1,T.Y. Hilton,IND,2014-09-07,4.5217885770490405,3.4657359027997265,10.828738894925165,24.510548201700807,0.4968858014843184,85.96589671463195,0.0772034957649116,9.12684102779385,5.0270600000000005,1.4,9.5,6.6000000000000005
6236,2014,1,Julian Edelman,NWE,2014-09-07,5.44673737166631,4.174387269895637,12.239462532675159,29.065948572503792,0.5421034764022631,87.62886259603172,0.3258921622149441,8.949200395462173,5.2170000000000005,2.0,18.0,14.6
5871,2014,1,Harry Douglas,ATL,2014-09-07,4.430816798843313,4.382026634673881,9.137698117222461,21.612591041849928,0.4350245295384909,95.57257964672527,0.016273458690197647,8.01401918065263,4.81572,2.0,5.800000000000002,9.9
11103,2014,1,Jerrel Jernigan,NYG,2014-09-08,4.418840607796597,3.49650756146648,6.794315979075615,24.533991890456814,0.5535944541824049,70.09551946257493,0.34671382449459104,4.275059399688436,5.16878,2.25,2.5,4.3
13113,2014,1,Marqise Lee ,JAX,2014-09-07,3.6635616461296463,0.0,9.2,23.762525918376827,0.5135804601527034,76.30439248758933,0.0,10.0,5.0708199999999986,3.2,2.1,9.2
10853,2014,1,Vincent Jackson,TAM,2014-09-07,4.110873864173311,4.8283137373023015,11.32973971825682,23.98681670121573,0.555088134703506,80.61528947955915,0.06717339946280593,9.327824866438563,4.9221,2.0,7.1000000000000005,5.6
